"Country or Area","Year","Value"
"Monaco","1999","100.656636071979"
"Monaco","1998","99.8136620205234"
"Monaco","1997","101.081059319208"
"Monaco","1996","102.315268875579"
"Monaco","1995","98.9873066487075"
"Monaco","1994","101.858718018801"
"Monaco","1993","100.847405794051"
"Monaco","1992","101.687171230164"
"Monaco","1991","96.0763054847967"
"Monaco","1990","95.2976087872402"
"Netherlands","2015","165127.234393129"
"Netherlands","2014","158043.010904822"
"Netherlands","2013","165574.543253758"
"Netherlands","2012","165539.929517869"
"Netherlands","2011","169714.674881758"
"Netherlands","2010","182545.603644296"
"Netherlands","2009","170700.861382165"
"Netherlands","2008","175954.884031986"
"Netherlands","2007","172940.469663442"
"Netherlands","2006","172514.170444672"
"Netherlands","2005","177180.06443494"
"Netherlands","2004","181174.138730991"
"Netherlands","2003","179583.019672527"
"Netherlands","2002","176117.494778571"
"Netherlands","2001","176862.8149166"
"Netherlands","2000","171650.15723327"
"Netherlands","1999","170677.073611354"
"Netherlands","1998","176075.01280662"
"Netherlands","1997","174985.706325385"
"Netherlands","1996","182331.446058845"
"Netherlands","1995","172858.594777623"
"Netherlands","1994","174676.270702867"
"Netherlands","1993","171248.749225027"
"Netherlands","1992","170700.28748704"
"Netherlands","1991","170895.721025409"
"Netherlands","1990","162271.290084868"
"New Zealand","2015","35911.4338836119"
"New Zealand","2014","35584.98286845"
"New Zealand","2013","35086.9425734548"
"New Zealand","2012","35654.665381971"
"New Zealand","2011","34332.2169281698"
"New Zealand","2010","35017.7383247789"
"New Zealand","2009","34791.6641232581"
"New Zealand","2008","37666.2726798566"
"New Zealand","2007","36645.1210008425"
"New Zealand","2006","37515.6911028917"
"New Zealand","2005","37642.4117389334"
"New Zealand","2004","36060.3205601505"
"New Zealand","2003","36495.1015888052"
"New Zealand","2002","34768.4964371247"
"New Zealand","2001","34587.07232349"
"New Zealand","2000","32358.6354731522"
"New Zealand","1999","31528.9339579139"
"New Zealand","1998","29934.0262355305"
"New Zealand","1997","31355.6014018405"
"New Zealand","1996","29374.8814086113"
"New Zealand","1995","28151.6471786684"
"New Zealand","1994","27887.4687173507"
"New Zealand","1993","27705.398861013"
"New Zealand","1992","28107.8971709844"
"New Zealand","1991","26116.5912708957"
"New Zealand","1990","25428.636608622"
"Norway","2015","44664.0464722968"
"Norway","2014","43965.8633447646"
"Norway","2013","44302.6574254391"
"Norway","2012","44558.5448507656"
"Norway","2011","44926.5712561813"
"Norway","2010","45838.4773896292"
"Norway","2009","43216.7454624282"
"Norway","2008","44898.1019565361"
"Norway","2007","45848.1213225819"
"Norway","2006","43919.2539785029"
"Norway","2005","43553.9271215303"
"Norway","2004","44327.379204833"
"Norway","2003","43914.6535562953"
"Norway","2002","42661.7144623381"
"Norway","2001","43539.7424415888"
"Norway","2000","42202.1100256835"
"Norway","1999","42699.6617277067"
"Norway","1998","41947.9526018018"
"Norway","1997","41691.5423401251"
"Norway","1996","41593.1617564977"
"Norway","1995","38476.6886129023"
"Norway","1994","38445.8775472684"
"Norway","1993","36531.5625170332"
"Norway","1992","34831.8925907625"
"Norway","1991","34069.334139415"
"Norway","1990","35704.388093822"
"Poland","2015","310638.589132136"
"Poland","2014","307601.95301891"
"Poland","2013","319921.725638976"
"Poland","2012","324225.513202434"
"Poland","2011","331703.807327433"
"Poland","2010","332132.430214518"
"Poland","2009","314146.670909355"
"Poland","2008","327450.53431757"
"Poland","2007","334367.834950312"
"Poland","2006","334625.081572116"
"Poland","2005","321670.631871944"
"Poland","2004","322540.322324561"
